word,bridge,pinyin
"卷心菜",cabbage,"juǎn xīn cài"
"水果",fruit,"shuǐ guǒ"
"番茄",tomato,"fān qié"
"苹果",apple,"píng guǒ"
"西红柿",tomato,"xī hóng shì"
"香蕉",banana,"xiāng jiāo"
